first_name,last_name,date_of_birth,current_club_id,nationality,squad_number
Anthony,Elanga,2002-04-27,19,SWE,21
Nicolás,Domínguez,1998-06-28,19,ARG,16
Morgan,Gibbs-White,2000-01-27,19,ENG,10
Danilo,,2001-04-29,19,BRA,28
Ryan,Yates,1997-11-21,19,ENG,22
Ibrahim,Sangaré,1997-12-02,19,CIV,6
Ola,Aina,1996-10-08,19,NGA,34
Harry,Toffolo,1995-08-19,19,ENG,15
Murillo,,2002-07-04,19,BRA,5
Willy,Boly,1991-02-03,19,CIV,30
Neco,Williams,2001-04-13,19,WAL,7
Matz,Sels,1992-02-26,19,BEL,26
Antoine,Semenyo,2000-01-07,6,GHA,24
Luis,Sinisterra,1999-06-17,6,COL,17
Justin,Kluivert,1999-05-05,6,NED,19
Dango,Ouattara,2002-02-11,6,BFA,11
Daniel,Jebbison,2003-07-11,6,ENG,21
Marcus,Tavernier,1999-03-22,6,ENG,16
Lewis,Cook,1997-02-03,6,ENG,4
Philip,Billing,1996-06-11,6,DEN,29
Alex,Scott,2003-08-21,6,ENG,14
Ryan,Christie,1995-02-22,6,SCO,10
Milos,Kerkez,2003-11-07,6,HUN,3
Dean,Huijsen,2005-04-14,6,ESP,2
Illia,Zabarnyi,2002-09-01,6,UKR,27
Adam,Smith,1991-04-29,6,ENG,15
Julian,Araujo,2001-08-13,6,MEX,28
Neto,,1989-07-19,6,BRA,1
Dominic,Calvert-Lewin,1997-03-16,11,ENG,9
Beto,,1998-01-31,11,GNB,14
Dwight,McNeil,1999-11-22,11,ENG,7
Jack,Harrison,1996-11-20,11,ENG,11
Mason,Holgate,1996-10-22,11,ENG,4
Abdoulaye,Doucouré,1993-01-01,11,MLI,16
Iliman,Ndiaye,2000-03-06,11,SEN,10
Idrissa,Gana Gueye,1989-09-26,11,SEN,27
Tim,Iroegbunam,2003-06-30,11,ENG,42
Vitaliy,Mykolenko,1999-05-29,11,UKR,19
Michael,Keane,1993-01-11,11,ENG,5
James,Tarkowski,1992-11-19,11,ENG,6
Ashley,Young,1985-07-09,11,ENG,18
Jordan,Pickford,1994-03-07,11,ENG,1
Danny,Welbeck,1990-11-26,1,ENG,18
Kaoru,Mitoma,1997-05-20,1,JPN,22
Yasin,Ayari,2003-10-06,1,SWE,26
Yankuba,Minteh,2004-07-22,1,GAM,17
Simon,Adingra,2002-01-01,1,CIV,24
João,Pedro,2001-09-26,1,BRA,9
Jeremy,Sarmiento,2002-06-16,1,ECU,16
Mats,Wieffer,1999-11-16,1,NED,27
James,Milner,1986-01-04,1,ENG,6
Billy,Gilmour,2001-06-11,1,SCO,11
Jack,Hinshelwood,2005-04-11,1,ENG,41
Lewis,Dunk,1991-11-21,1,ENG,5
Adam,Webster,1995-01-04,1,ENG,4
Jan Paul,van Hecke,2000-06-08,1,NED,29
Joël,Veltman,1992-01-15,1,NED,34
Jason,Steele,1990-08-18,1,ENG,23
Kai,Havertz,1999-06-11,4,GER,29
Gabriel,Martinelli,2001-06-18,4,BRA,11
Bukayo,Saka,2001-09-05,4,ENG,7
Leandro,Trossard,1994-12-04,4,BEL,19
Declan,Rice,1999-01-14,4,ENG,41
Gabriel,Jesus,1997-04-03,4,BRA,9
Thomas,Partey,1993-06-13,4,GHA,5
Martin,Ødegaard,1998-12-17,4,NOR,8
Oleksandr,Zinchenko,1996-12-15,4,UKR,17
Jurriën,Timber,2001-06-17,4,NED,12
Gabriel,Magalhães,1997-12-19,4,BRA,6
William,Saliba,2001-03-24,4,FRA,2
Ben,White,1997-10-08,4,ENG,4
David,Raya,1995-09-15,4,ESP,22
Jørgen,Strand Larsen,2000-02-06,23,NOR,9
Chiquinho,,2000-02-05,23,POR,23
Rodrigo,Gomes,2003-07-07,23,POR,19
Daniel,Podence,1995-10-21,23,POR,10
Hwang,Hee-chan,1996-01-26,23,KOR,11
Jean-Ricner,Bellegarde,1998-06-27,23,FRA,27
Matheus,Cunha,1999-05-27,23,BRA,12
Mario,Lemina,1993-09-01,23,GAB,5
João,Gomes,2001-02-12,23,BRA,8
Pablo,Sarabia,1992-05-11,23,ESP,21
Rayan,Aït-Nouri,2001-06-06,23,ALG,3
Craig,Dawson,1990-05-06,23,ENG,15
Toti,Gomes,1999-01-16,23,POR,24
Yerson,Mosquera,2001-05-02,23,COL,14
Matt,Doherty,1992-01-16,23,IRL,2
José,Sá,1993-01-17,23,POR,1
Michail,Antonio,1990-03-28,22,JAM,9
Niclas,Füllkrug,1993-02-09,22,GER,11
Mohammed,Kudus,2000-08-02,22,GHA,14
Lucas,Paquetá,1997-08-27,22,BRA,10
James,Ward-Prowse,1994-11-01,22,ENG,8
Tomáš,Sou?ek,1995-02-27,22,CZE,28
Jarrod,Bowen,1996-12-20,22,ENG,20
Crysencio,Summerville,2001-10-30,22,NED,7
Guido,Rodríguez,1994-04-12,22,ARG,24
Danny,Ings,1992-07-23,22,ENG,18
Emerson,Palmieri,1994-08-03,22,ITA,33
Max,Kilman,1997-05-23,22,ENG,26
Konstantinos,Mavropanos,1997-12-11,22,GRE,15
Vladimír,Coufal,1992-08-22,22,CZE,5
Jean-Clair,Todibo,1999-12-30,22,FRA,25
Alphonse,Areola,1993-02-27,22,FRA,23
Ollie,Watkins,1995-12-30,5,ENG,11
Jhon,Durán,2003-12-13,5,COL,9
John,McGinn,1994-10-18,5,SCO,7
Jacob,Ramsey,2001-05-28,5,ENG,41
Leon,Bailey,1997-08-09,5,JAM,31
Jaden,Philogene,2002-02-08,5,ENG,19
Morgan,Rogers,2002-07-26,5,ENG,27
Youri,Tielemans,1997-05-07,5,BEL,8
Amadou,Onana,2001-08-16,5,BEL,24
Lucas,Digne,1993-07-20,5,FRA,12
Ian,Maatsen,2002-03-10,5,NED,22
Pau,Torres,1997-01-16,5,ESP,14
Ezri,Konsa,1997-10-23,5,ENG,4
Matty,Cash,1997-08-07,5,POL,2
Kosta,Nedeljkovi?,2005-12-16,5,SRB,20
Emiliano,Martínez,1992-09-02,5,ARG,23
Yoane,Wissa,1996-09-03,7,COD,11
Fabio,Carvalho,2002-08-30,7,POR,14
Kevin,Schade,2001-11-27,7,GER,7
Keane,Lewis-Potter,2001-02-22,7,ENG,23
Bryan,Mbeumo,1999-08-07,7,CMR,19
Ben,Mee,1989-09-21,7,ENG,16
Mathias,Jensen,1996-01-01,7,DEN,8
Frank,Onyeka,1998-01-01,7,NGA,15
Vitaly,Janelt,1998-05-10,7,GER,27
Mikkel,Damsgaard,2000-07-03,7,DEN,24
Christian,Nørgaard,1994-03-10,7,DEN,6
Kristoffer,Ajer,1998-04-17,7,NOR,20
Ethan,Pinnock,1993-05-29,7,JAM,5
Nathan,Collins,2001-04-30,7,IRL,22
Mads,Roerslev,1999-06-24,7,DEN,30
Mark,Flekken,1993-06-13,7,NED,1
Jean-Philippe,Mateta,1997-06-28,3,FRA,14
Odsonne,Édouard,1998-01-16,3,FRA,22
Eberechi,Eze,1998-06-29,3,ENG,10
Daichi,Kamada,1996-08-05,3,JPN,18
Jordan,Ayew,1991-09-11,3,GHA,9
Will,Hughes,1995-04-17,3,ENG,19
Cheick,Doucouré,2000-01-08,3,MLI,28
Adam,Wharton,2004-02-06,3,ENG,20
Jefferson,Lerma,1994-10-25,3,COL,8
Tyrick,Mitchell,1999-09-01,3,ENG,3
Daniel,Muñoz,1996-05-25,3,COL,12
Marc,Guéhi,2000-07-13,3,ENG,6
Joachim,Andersen,1996-05-31,3,DEN,5
Chris,Richards,2000-03-28,3,USA,26
Ismaila,Sarr,1998-02-25,3,SEN,7
Dean,Henderson,1997-03-12,3,ENG,1
Nicolas,Jackson,2001-06-20,2,SEN,15
Marc,Guiu,2006-01-04,2,ESP,38
Christopher,Nkunku,1997-11-14,2,FRA,18
Pedro,Neto,2000-03-09,2,POR,19
Cole,Palmer,2002-05-06,2,ENG,20
Enzo,Fernández,2001-01-17,2,ARG,8
Roméo,Lavia,2004-01-06,2,BEL,45
Kiernan,Dewsbury-Hall,1998-09-06,2,ENG,22
Moisés,Caicedo,2001-11-02,2,ECU,25
Marc,Cucurella,1998-07-22,2,ESP,3
Renato,Veiga,2003-07-29,2,POR,40
Levi,Colwill,2003-02-26,2,ENG,6
Wesley,Fofana,2000-12-17,2,FRA,29
Malo,Gusto,2003-05-19,2,FRA,27
Robert,Sánchez,1997-11-18,2,ESP,1
Erling,Haaland,2000-07-21,16,NOR,9
Sávio,,2001-04-10,16,BRA,26
Phil,Foden,2000-05-28,16,ENG,47
Jeremy,Doku,2002-05-27,16,BEL,11
Kevin,De Bruyne,1991-06-28,16,BEL,17
Bernardo,Silva,1994-08-10,16,POR,20
Mateo,Kova?i?,1994-05-06,16,CRO,8
Rico,Lewis,2004-11-21,16,ENG,82
Joško,Gvardiol,2002-01-23,16,CRO,24
Rúben,Dias,1997-05-14,16,POR,3
Manuel,Akanji,1995-07-19,16,SUI,25
Ederson,,1993-08-17,16,BRA,31
Jamie,Vardy,1987-01-11,14,ENG,9
Stephy,Mavididi,1998-05-31,14,ENG,10
Bobby,Reid,1993-02-02,14,JAM,14
Kasey,McAteer,2001-11-22,14,IRL,35
Abdul,Fatawu,2004-03-08,14,GHA,7
Facundo,Buonanotte,2004-12-23,14,ARG,40
Boubakary,Soumaré,1999-02-27,14,FRA,24
Wilfred,Ndidi,1996-12-16,14,NGA,6
Harry,Winks,1996-02-02,14,ENG,8
Victor,Kristiansen,2002-12-16,14,DEN,16
Wout,Faes,1998-04-03,14,BEL,3
Jannik,Vestergaard,1992-08-03,14,DEN,23
James,Justin,1998-02-23,14,ENG,2
Mads,Hermansen,2000-07-11,14,DEN,30
Dominic,Solanke,1997-09-14,21,ENG,19
Son,Heung-min,1992-07-08,21,KOR,7
Richarlison,,1997-05-10,21,BRA,9
Brennan,Johnson,2001-05-23,21,WAL,22
Timo,Werner,1996-03-06,21,GER,16
James,Maddison,1996-11-23,21,ENG,10
Dejan,Kulusevski,2000-04-25,21,SWE,21
Rodrigo,Bentancur,1997-06-25,21,URU,30
Archie,Gray,2006-03-12,21,ENG,14
Pape,Matar Sarr,2002-09-14,21,SEN,29
Lucas,Bergvall,2006-02-02,21,SWE,15
Destiny,Udogie,2002-11-28,21,ITA,13
Micky,van de Ven,2001-04-19,21,NED,37
Cristian,Romero,1998-04-27,21,ARG,17
Pedro,Porro,1999-09-13,21,ESP,23
Djed,Spence,2000-08-09,21,ENG,24
Guglielmo,Vicario,1996-10-07,21,ITA,1
Julio,Enciso,2004-01-23,1,PAR,10
Georginio,Rutter,2002-04-20,1,FRA,14
Carlos,Baleba,2004-01-03,1,CMR,20
Antony,,2000-02-24,17,BRA,21
Wilson,Odobert,2004-11-28,21,FRA,28
Yves,Bissouma,1996-08-30,21,MLI,8
Jesper,Lindstrøm,2000-02-29,11,DEN,29
Harrison,Armstrong,2007-01-19,11,ENG,45
Roman,Dixon,2004-12-26,11,ENG,75
Oliver,Skipp,2000-09-16,14,ENG,22
Chadi,Riad,2003-06-17,3,MAR,34
Jeffrey,Schlupp,1992-12-23,3,GHA,15
Aaron,Wan-Bissaka,1997-11-26,22,ENG,29
Edson,Álvarez,1997-10-24,22,MEX,19
Aaron,Cresswell,1989-12-15,22,ENG,3
James,Mcatee,2002-10-18,16,ENG,87
?lkay,Gündo?an,1990-10-24,16,GER,19
Jack,Grealish,1995-09-10,16,ENG,10
Matheus,Nunes,1998-08-27,16,POR,27
John,Stones,1994-05-28,16,ENG,5
George,Edmundson,1997-08-15,13,ENG,4
Arijanet,Muric,1998-11-07,13,KVX,1
Charlie,Taylor,1993-09-18,20,ENG,21
Mateus,Fernandes,2004-07-10,20,POR,18
Jota,Silva,1999-08-01,19,POR,20
Nikola,Milenkovi?,1997-10-12,19,SRB,31
Ross,Barkley,1993-12-05,5,ENG,6
Reiss,Nelson,1999-12-10,4,ENG,24
Riccardo,Calafiori,2002-05-19,4,ITA,33
Evanilson,,1999-10-06,6,BRA,9
Marcos,Senesi,1997-05-10,6,ARG,5
Miguel,Almirón,1994-02-10,18,PAR,24
Joe,Willock,1999-08-20,18,ENG,28
Kieran,Trippier,1990-09-19,18,ENG,2
Tommy,Doyle,2001-10-17,23,ENG,20
João,Félix,1995-11-10,2,POR,14
Mykhailo,Mudryk,2001-01-05,2,UKR,10
Noni,Madueke,2002-03-10,2,ENG,11
Darwin,Núñez,1999-06-24,15,URU,9
Harvey,Elliott,2003-04-04,15,ENG,19
Wataru,Endo,1993-02-09,15,JPN,3
Pervis,Estupiñán,1998-01-21,1,ECU,30
Bart,Verbruggen,2002-08-18,1,NED,1
Séamus,Coleman,1988-10-11,11,IRL,23
Kepa,Arrizabalaga,1994-10-03,6,ESP,13
Bilal,El Khannouss,2004-05-10,14,MAR,11
Caleb,Okoli,2001-07-13,14,ITA,5
Lamare,Bogarde,2004-01-05,5,NED,26
Ramón,Sosa,1999-08-31,19,PAR,24
André,,2001-07-16,23,BRA,7
Gonçalo,Guedes,1996-11-29,23,POR,29
Nélson,Semedo,1993-11-16,23,POR,22
Sam,Johnstone,1993-03-25,23,ENG,31
Jack,Clarke,2000-11-23,13,ENG,47
Chiedozie,Ogbene,1997-05-01,13,IRL,21
Kalvin,Phillips,1995-12-02,13,ENG,8
Jens,Cajuste,1999-08-10,13,SWE,12
Sander,Berge,1998-02-14,12,NOR,16
Sepp,van den Berg,2001-12-20,7,NED,4
Adam,Lallana,1988-05-10,20,ENG,10
Aaron,Ramsdale,1998-05-14,20,ENG,30
?ukasz,Fabia?ski,1985-04-18,22,POL,1
Nathan,Aké,1995-02-18,16,NED,6
Kyle,Walker,1990-05-28,16,ENG,2
Sandro,Tonali,2000-05-08,18,ITA,8
Radu,Dr?gu?in,2002-02-03,21,ROU,6
Nathaniel,Clyne,1991-04-05,3,ENG,17
Christian,Eriksen,1992-02-14,17,DEN,14
Toby,Collyer,2004-01-03,17,ENG,43
Ross,Stewart,1996-07-11,20,SCO,11
Ryan,Fraser,1994-02-24,20,SCO,24
Lesley,Ugochukwu,2004-03-26,20,FRA,26
Maxwel,Cornet,1996-09-27,20,CIV,22
Manuel,Ugarte,2001-04-11,17,URU,25
Evan,Ferguson,2004-10-19,1,IRL,28
Ferdi,Kadioglu,1999-10-07,1,TUR,24
George,Hirst,1999-02-15,13,ENG,27
Dara,O'Shea,1999-03-04,13,IRL,26
Eddie,Nketiah,1999-05-30,3,ENG,9
Maxence,Lacroix,2000-04-06,3,FRA,5
Conor,Coady,1993-02-25,14,ENG,4
Hamza,Choudhury,1997-10-01,14,ENG,17
Rodri,, 22/06/1996,16,SPA,16
Yehor,Yarmoliuk,2004-03-01,7,UKR,18
Curtis,Jones,2001-01-30,15,ENG,17
Morato,,2001-06-30,19,BRA,4
Álex,Moreno,1993-06-08,19,ESP,19
Carlos,Soler,1997-01-02,22,ESP,4
Emi,Buendía,1996-12-25,5,ARG,10
Jake,O'Brien,2001-05-15,11,IRL,15
Orel,Mangala,1998-03-18,11,BEL,8
James,Garner,2001-03-13,11,ENG,37
Enes,Ünal,1997-05-10,6,TUR,26
Mark,Travers,1999-05-18,6,IRL,42
Jadon,Sancho,2000-03-25,2,ENG,19
Axel,Disasi,1998-03-11,2,FRA,2
Tosin,Adarabioyo,1997-09-24,2,ENG,4
Raheem,Sterling,1994-12-08,4,ENG,30
Jorginho,,1991-12-20,4,ITA,20
Ethan,Nwaneri,2007-03-21,4,ENG,53
Carlos,Forbs,2004-03-19,23,POR,26
Andy,Irving,2000-05-13,22,SCO,39
Federico,Chiesa,1997-10-25,15,ITA,14
Caoimhín,Kelleher,1998-11-23,15,IRL,62
Mikey,Moore,2007-08-11,21,ENG,47
Ryan,Trevitt,2003-03-12,7,ENG,28
Yunus,Konak,2006-01-10,7,TUR,26
William,Osula,2003-08-04,18,DEN,18
Diego,Carlos,1993-03-15,5,BRA,3
Santiago,Bueno,1998-11-09,23,URU,4
Rasmus,Højlund,2003-02-04,17,DEN,9
Jakub,Kiwior,2000-02-15,4,POL,15
Myles,Lewis-Skelly,2006-09-26,4,ENG,49
Igor,,2001-06-26,7,BRA,3
Jarrad,Branthwaite,2002-06-27,11,ENG,32
Joe,Gomez,1997-05-23,15,ENG,2
Trevoh,Chalobah,1999-07-05,3,ENG,27
Vitezslav,Jaros,2001-07-23,15,CZE,56
Timothy,Castagne,1995-12-05,12,BEL,21
Luis,Guilherme,2006-02-09,22,BRA,17
Mikel,Merino,1996-06-22,4,ESP,23
Takehiro,Tomiyasu,1998-11-05,4,JPN,18
Ryan,Manning,1996-06-14,20,IRL,3
Paul,Onuachu,1994-05-28,20,NGA,32
David,Brooks,1997-07-08,6,WAL,7
Victor,Lindelöf,1994-07-17,17,SWE,2
Brajan,Gruda,2004-05-31,1,GER,8
Kamaldeen,Sulemana,2002-02-15,20,GHA,20
Cameron,Burgess,1995-10-21,13,AUS,15
Harry,Clarke,2001-03-02,13,ENG,2
Benoît,Badiashile,2001-03-26,2,FRA,5
Reece,James,1999-12-08,2,ENG,24
Asher,Agbinone,2005-09-28,3,ENG,64
Ricardo,Pereira,1993-10-06,14,POR,21
Conor,Townsend,1993-03-04,13,ENG,22
Tariq,Lamptey,2000-09-30,1,GHA,2
James,Bree,1997-12-11,20,ENG,14
Boubacar,Kamara,1999-11-23,5,FRA,44
Tyler,Adams,1999-02-14,6,USA,12
Jorge,Cuenca,1999-11-17,12,ESP,15
Jakub,Moder,1999-04-07,1,POL,15
Eric,da Silva Moreira,2006-05-03,19,GER,17
Ben,Davies,1993-04-24,21,WAL,33
Justin,Devenny,2003-10-11,3,NIR,55
Caleb,Kporha,2006-07-15,3,ENG,58
Matt,O'Riley,2000-11-21,1,DEN,33
Jahmai,Simpson-Pusey,2005-11-04,16,ENG,66
Patson,Daka,1998-10-09,14,ZAM,20
Max,Aarons,2000-01-04,6,ENG,37
Thiago,,2001-06-26,7,BRA,9
Alfie,Pond,2004-03-01,23,ENG,46
Luke,Shaw,1995-07-12,17,ENG,23
Callum,Wilson,1992-02-27,18,ENG,9
Joe,Lumley,1995-02-15,20,ENG,13
Nathan,Broadhead,1998-04-05,13,WAL,33
Luke,Thomas,2001-06-10,14,ENG,33
Robin,Olsen,1990-01-08,5,SWE,25
Will,Lankshear,2005-04-20,21,ENG,42
Fraser,Forster,1988-03-17,21,ENG,20
Ryan,Sessegnon,2000-05-18,12,ENG,30
Nathan,Patterson,2001-10-16,11,SCO,2
Stefan,Ortega,1992-11-06,16,GER,18
Armando,Broja,2001-09-10,11,ALB,22
Nathan,Wood-Gordon,2002-05-31,20,ENG,15
Ronnie,Edwards,2003-03-28,20,ENG,12
Filip,Jørgensen,2002-04-16,2,DEN,12
Tyrell,Malacia,1999-08-17,17,NED,12
Leny,Yoro,2005-11-13,17,FRA,15
Tyrone,Mings,1993-03-13,5,ENG,5
Edmond-Paris,Maghoma,2001-05-08,7,ENG,32
Joshua,King,2007-01-03,12,ENG,24
Joshua,King,2007-01-03,12,ENG,24
