first_name,last_name,date_of_birth,current_club_id,nationality,squad_number
Jan Paul,van Hecke,08/06/2000,,NED,29
Joël,Veltman,15/01/1992,,NED,34
Jason,Steele,18/08/1990,,ENG,23
Kai,Havertz,11/06/1999,,GER,29
Gabriel,Martinelli,18/06/2001,,BRA,11
Bukayo,Saka,05/09/2001,,ENG,7
Leandro,Trossard,04/12/1994,,BEL,19
Declan,Rice,14/01/1999,,ENG,41
Gabriel,Jesus,03/04/1997,,BRA,9
Thomas,Partey,13/06/1993,,GHA,5
Martin,Ødegaard,17/12/1998,,NOR,8
Oleksandr,Zinchenko,15/12/1996,,UKR,17
Jurriën,Timber,17/06/2001,,NED,12
Gabriel,Magalhães,19/12/1997,,BRA,6
William,Saliba,24/03/2001,,FRA,2
Ben,White,08/10/1997,,ENG,4
David,Raya,15/09/1995,,ESP,22
Jørgen,Strand Larsen,06/02/2000,,NOR,9
Chiquinho,,05/02/2000,,POR,23
Rodrigo,Gomes,07/07/2003,,POR,19
Daniel,Podence,21/10/1995,,POR,10
Hwang,Hee-chan,26/01/1996,,KOR,11
Jean-Ricner,Bellegarde,27/06/1998,,FRA,27
Matheus,Cunha,27/05/1999,,BRA,12
Mario,Lemina,01/09/1993,,GAB,5
João,Gomes,12/02/2001,,BRA,8
Pablo,Sarabia,11/05/1992,,ESP,21
Rayan,Aït-Nouri,06/06/2001,,ALG,3
Craig,Dawson,06/05/1990,,ENG,15
Toti,Gomes,16/01/1999,,POR,24
Yerson,Mosquera,02/05/2001,,COL,14
Matt,Doherty,16/01/1992,,IRL,2
José,Sá,17/01/1993,,POR,1
Michail,Antonio,28/03/1990,,JAM,9
Niclas,Füllkrug,09/02/1993,,GER,11
Mohammed,Kudus,02/08/2000,,GHA,14
Lucas,Paquetá,27/08/1997,,BRA,10
James,Ward-Prowse,01/11/1994,,ENG,8
Tomáš,Sou?ek,27/02/1995,,CZE,28
Jarrod,Bowen,20/12/1996,,ENG,20
Crysencio,Summerville,30/10/2001,,NED,7
Guido,Rodríguez,12/04/1994,,ARG,24
Danny,Ings,23/07/1992,,ENG,18
Emerson,Palmieri,03/08/1994,,ITA,33
Max,Kilman,23/05/1997,,ENG,26
Konstantinos,Mavropanos,11/12/1997,,GRE,15
Vladimír,Coufal,22/08/1992,,CZE,5
Jean-Clair,Todibo,30/12/1999,,FRA,25
Alphonse,Areola,27/02/1993,,FRA,23
Ollie,Watkins,30/12/1995,,ENG,11
Jhon,Durán,13/12/2003,,COL,9
John,McGinn,18/10/1994,,SCO,7
Jacob,Ramsey,28/05/2001,,ENG,41
Leon,Bailey,09/08/1997,,JAM,31
Jaden,Philogene,08/02/2002,,ENG,19
Morgan,Rogers,26/07/2002,,ENG,27
Youri,Tielemans,07/05/1997,,BEL,8
Amadou,Onana,16/08/2001,,BEL,24
Lucas,Digne,20/07/1993,,FRA,12
Ian,Maatsen,10/03/2002,,NED,22
Pau,Torres,16/01/1997,,ESP,14
Ezri,Konsa,23/10/1997,,ENG,4
Matty,Cash,07/08/1997,,POL,2
Kosta,Nedeljkovi?,16/12/2005,,SRB,20
Emiliano,Martínez,02/09/1992,,ARG,23
Yoane,Wissa,03/09/1996,,COD,11
Fabio,Carvalho,30/08/2002,,POR,14
Kevin,Schade,27/11/2001,,GER,7
Keane,Lewis-Potter,22/02/2001,,ENG,23
Bryan,Mbeumo,07/08/1999,,CMR,19
Ben,Mee,21/09/1989,,ENG,16
Mathias,Jensen,01/01/1996,,DEN,8
Frank,Onyeka,01/01/1998,,NGA,15
Vitaly,Janelt,10/05/1998,,GER,27
Mikkel,Damsgaard,03/07/2000,,DEN,24
Christian,Nørgaard,10/03/1994,,DEN,6
Kristoffer,Ajer,17/04/1998,,NOR,20
Ethan,Pinnock,29/05/1993,,JAM,5
Nathan,Collins,30/04/2001,,IRL,22
Mads,Roerslev,24/06/1999,,DEN,30
Mark,Flekken,13/06/1993,,NED,1
Jean-Philippe,Mateta,28/06/1997,,FRA,14
Odsonne,Édouard,16/01/1998,,FRA,22
Eberechi,Eze,29/06/1998,,ENG,10
Daichi,Kamada,05/08/1996,,JPN,18
Jordan,Ayew,11/09/1991,,GHA,9
Will,Hughes,17/04/1995,,ENG,19
Cheick,Doucouré,08/01/2000,,MLI,28
Adam,Wharton,06/02/2004,,ENG,20
Jefferson,Lerma,25/10/1994,,COL,8
Tyrick,Mitchell,01/09/1999,,ENG,3
Daniel,Muñoz,25/05/1996,,COL,12
Marc,Guéhi,13/07/2000,,ENG,6
Joachim,Andersen,31/05/1996,,DEN,5
Chris,Richards,28/03/2000,,USA,26
Ismaila,Sarr,25/02/1998,,SEN,7
Dean,Henderson,12/03/1997,,ENG,1
Nicolas,Jackson,20/06/2001,,SEN,15
Marc,Guiu,04/01/2006,,ESP,38
Christopher,Nkunku,14/11/1997,,FRA,18
Pedro,Neto,09/03/2000,,POR,19
Cole,Palmer,06/05/2002,,ENG,20
Enzo,Fernández,17/01/2001,,ARG,8
Roméo,Lavia,06/01/2004,,BEL,45
Kiernan,Dewsbury-Hall,06/09/1998,,ENG,22
Moisés,Caicedo,02/11/2001,,ECU,25
Marc,Cucurella,22/07/1998,,ESP,3
Renato,Veiga,29/07/2003,,POR,40
Levi,Colwill,26/02/2003,,ENG,6
Wesley,Fofana,17/12/2000,,FRA,29
Malo,Gusto,19/05/2003,,FRA,27
Robert,Sánchez,18/11/1997,,ESP,1
Erling,Haaland,21/07/2000,,NOR,9
Sávio,,10/04/2001,,BRA,26
Phil,Foden,28/05/2000,,ENG,47
Jeremy,Doku,27/05/2002,,BEL,11
Kevin,De Bruyne,28/06/1991,,BEL,17
Bernardo,Silva,10/08/1994,,POR,20
Mateo,Kova?i?,06/05/1994,,CRO,8
Rico,Lewis,21/11/2004,,ENG,82
Joško,Gvardiol,23/01/2002,,CRO,24
Rúben,Dias,14/05/1997,,POR,3
Manuel,Akanji,19/07/1995,,SUI,25
Ederson,,17/08/1993,,BRA,31
Jamie,Vardy,11/01/1987,,ENG,9
Stephy,Mavididi,31/05/1998,,ENG,10
Bobby,Reid,02/02/1993,,JAM,14
Kasey,McAteer,22/11/2001,,IRL,35
Abdul,Fatawu,08/03/2004,,GHA,7
Facundo,Buonanotte,23/12/2004,,ARG,40
Boubakary,Soumaré,27/02/1999,,FRA,24
Wilfred,Ndidi,16/12/1996,,NGA,6
Harry,Winks,02/02/1996,,ENG,8
Victor,Kristiansen,16/12/2002,,DEN,16
Wout,Faes,03/04/1998,,BEL,3
Jannik,Vestergaard,03/08/1992,,DEN,23
James,Justin,23/02/1998,,ENG,2
Mads,Hermansen,11/07/2000,,DEN,30
Dominic,Solanke,14/09/1997,,ENG,19
Son,Heung-min,08/07/1992,,KOR,7
Richarlison,,10/05/1997,,BRA,9
Brennan,Johnson,23/05/2001,,WAL,22
Timo,Werner,06/03/1996,,GER,16
James,Maddison,23/11/1996,,ENG,10
Dejan,Kulusevski,25/04/2000,,SWE,21
Rodrigo,Bentancur,25/06/1997,,URU,30
Archie,Gray,12/03/2006,,ENG,14
Pape,Matar Sarr,14/09/2002,,SEN,29
Lucas,Bergvall,02/02/2006,,SWE,15
Destiny,Udogie,28/11/2002,,ITA,13
Micky,van de Ven,19/04/2001,,NED,37
Cristian,Romero,27/04/1998,,ARG,17
Pedro,Porro,13/09/1999,,ESP,23
Djed,Spence,09/08/2000,,ENG,24
Guglielmo,Vicario,07/10/1996,,ITA,1
Julio,Enciso,23/01/2004,,PAR,10
Georginio,Rutter,20/04/2002,,FRA,14
Carlos,Baleba,03/01/2004,,CMR,20
Antony,,24/02/2000,,BRA,21
Wilson,Odobert,28/11/2004,,FRA,28
Yves,Bissouma,30/08/1996,,MLI,8
Jesper,Lindstrøm,29/02/2000,,DEN,29
Harrison,Armstrong,19/01/2007,,ENG,45
Roman,Dixon,26/12/2004,,ENG,75
Oliver,Skipp,16/09/2000,,ENG,22
Chadi,Riad,17/06/2003,,MAR,34
Jeffrey,Schlupp,23/12/1992,,GHA,15
Aaron,Wan-Bissaka,26/11/1997,,ENG,29
Edson,Álvarez,24/10/1997,,MEX,19
Aaron,Cresswell,15/12/1989,,ENG,3
James,Mcatee,18/10/2002,,ENG,87
?lkay,Gündo?an,24/10/1990,,GER,19
Jack,Grealish,10/09/1995,,ENG,10
Matheus,Nunes,27/08/1998,,POR,27
John,Stones,28/05/1994,,ENG,5
George,Edmundson,15/08/1997,,ENG,4
Arijanet,Muric,07/11/1998,,KVX,1
Charlie,Taylor,18/09/1993,,ENG,21
Mateus,Fernandes,10/07/2004,,POR,18
Jota,Silva,01/08/1999,,POR,20
Nikola,Milenkovi?,12/10/1997,,SRB,31
Ross,Barkley,05/12/1993,,ENG,6
Reiss,Nelson,10/12/1999,,ENG,24
Riccardo,Calafiori,19/05/2002,,ITA,33
Evanilson,,06/10/1999,,BRA,9
Marcos,Senesi,10/05/1997,,ARG,5
Miguel,Almirón,10/02/1994,,PAR,24
Joe,Willock,20/08/1999,,ENG,28
Kieran,Trippier,19/09/1990,,ENG,2
Tommy,Doyle,17/10/2001,,ENG,20
João,Félix,10/11/1995,,POR,14
Mykhailo,Mudryk,05/01/2001,,UKR,10
Noni,Madueke,10/03/2002,,ENG,11
Darwin,Núñez,24/06/1999,,URU,9
Harvey,Elliott,04/04/2003,,ENG,19
Wataru,Endo,09/02/1993,,JPN,3
Pervis,Estupiñán,21/01/1998,,ECU,30
Bart,Verbruggen,18/08/2002,,NED,1
Séamus,Coleman,11/10/1988,,IRL,23
Kepa,Arrizabalaga,03/10/1994,,ESP,13
Bilal,El Khannouss,10/05/2004,,MAR,11
Caleb,Okoli,13/07/2001,,ITA,5
Lamare,Bogarde,05/01/2004,,NED,26
Ramón,Sosa,31/08/1999,,PAR,24
André,,16/07/2001,,BRA,7
Gonçalo,Guedes,29/11/1996,,POR,29
Nélson,Semedo,16/11/1993,,POR,22
Sam,Johnstone,25/03/1993,,ENG,31
Jack,Clarke,23/11/2000,,ENG,47
Chiedozie,Ogbene,01/05/1997,,IRL,21
Kalvin,Phillips,02/12/1995,,ENG,8
Jens,Cajuste,10/08/1999,,SWE,12
Sander,Berge,14/02/1998,,NOR,16
Sepp,van den Berg,20/12/2001,,NED,4
Adam,Lallana,10/05/1988,,ENG,10
Aaron,Ramsdale,14/05/1998,,ENG,30
?ukasz,Fabia?ski,18/04/1985,,POL,1
Nathan,Aké,18/02/1995,,NED,6
Kyle,Walker,28/05/1990,,ENG,2
Sandro,Tonali,08/05/2000,,ITA,8
Radu,Dr?gu?in,03/02/2002,,ROU,6
Nathaniel,Clyne,05/04/1991,,ENG,17
Christian,Eriksen,14/02/1992,,DEN,14
Toby,Collyer,03/01/2004,,ENG,43
Ross,Stewart,11/07/1996,,SCO,11
Ryan,Fraser,24/02/1994,,SCO,24
Lesley,Ugochukwu,26/03/2004,,FRA,26
Maxwel,Cornet,27/09/1996,,CIV,22
Manuel,Ugarte,11/04/2001,,URU,25
Evan,Ferguson,19/10/2004,,IRL,28
Ferdi,Kadioglu,07/10/1999,,TUR,24
George,Hirst,15/02/1999,,ENG,27
Dara,O'Shea,04/03/1999,,IRL,26
Eddie,Nketiah,30/05/1999,,ENG,9
Maxence,Lacroix,06/04/2000,,FRA,5
Conor,Coady,25/02/1993,,ENG,4
Hamza,Choudhury,01/10/1997,,ENG,17
Rodri,, 22/06/1996,,SPA,16
Yehor,Yarmoliuk,01/03/2004,,UKR,18
Curtis,Jones,30/01/2001,,ENG,17
Morato,,30/06/2001,,BRA,4
Álex,Moreno,08/06/1993,,ESP,19
Carlos,Soler,02/01/1997,,ESP,4
Emi,Buendía,25/12/1996,,ARG,10
Jake,O'Brien,15/05/2001,,IRL,15
Orel,Mangala,18/03/1998,,BEL,8
James,Garner,13/03/2001,,ENG,37
Enes,Ünal,10/05/1997,,TUR,26
Mark,Travers,18/05/1999,,IRL,42
Jadon,Sancho,25/03/2000,,ENG,19
Axel,Disasi,11/03/1998,,FRA,2
Tosin,Adarabioyo,24/09/1997,,ENG,4
Raheem,Sterling,08/12/1994,,ENG,30
Jorginho,,20/12/1991,,ITA,20
Ethan,Nwaneri,21/03/2007,,ENG,53
Carlos,Forbs,19/03/2004,,POR,26
Andy,Irving,13/05/2000,,SCO,39
Federico,Chiesa,25/10/1997,,ITA,14
Caoimhín,Kelleher,23/11/1998,,IRL,62
Mikey,Moore,11/08/2007,,ENG,47
Ryan,Trevitt,12/03/2003,,ENG,28
Yunus,Konak,10/01/2006,,TUR,26
William,Osula,04/08/2003,,DEN,18
Diego,Carlos,15/03/1993,,BRA,3
Santiago,Bueno,09/11/1998,,URU,4
Rasmus,Højlund,04/02/2003,,DEN,9
Jakub,Kiwior,15/02/2000,,POL,15
Myles,Lewis-Skelly,26/09/2006,,ENG,49
Igor,,26/06/2001,,BRA,3
Jarrad,Branthwaite,27/06/2002,,ENG,32
Joe,Gomez,23/05/1997,,ENG,2
Trevoh,Chalobah,05/07/1999,,ENG,27
Vitezslav,Jaros,23/07/2001,,CZE,56
Timothy,Castagne,05/12/1995,,BEL,21
Luis,Guilherme,09/02/2006,,BRA,17
Mikel,Merino,22/06/1996,,ESP,23
Takehiro,Tomiyasu,05/11/1998,,JPN,18
Ryan,Manning,14/06/1996,,IRL,3
Paul,Onuachu,28/05/1994,,NGA,32
David,Brooks,08/07/1997,,WAL,7
Victor,Lindelöf,17/07/1994,,SWE,2
Brajan,Gruda,31/05/2004,,GER,8
Kamaldeen,Sulemana,15/02/2002,,GHA,20
Cameron,Burgess,21/10/1995,,AUS,15
Harry,Clarke,02/03/2001,,ENG,2
Benoît,Badiashile,26/03/2001,,FRA,5
Reece,James,08/12/1999,,ENG,24
Asher,Agbinone,28/09/2005,,ENG,64
Ricardo,Pereira,06/10/1993,,POR,21
Conor,Townsend,04/03/1993,,ENG,22
Tariq,Lamptey,30/09/2000,,GHA,2
James,Bree,11/12/1997,,ENG,14
Boubacar,Kamara,23/11/1999,,FRA,44
Tyler,Adams,14/02/1999,,USA,12
Jorge,Cuenca,17/11/1999,,ESP,15
Jakub,Moder,07/04/1999,,POL,15
Eric,da Silva Moreira,03/05/2006,,GER,17
Ben,Davies,24/04/1993,,WAL,33
Justin,Devenny,11/10/2003,,NIR,55
Caleb,Kporha,15/07/2006,,ENG,58
Matt,O'Riley,21/11/2000,,DEN,33
Jahmai,Simpson-Pusey,04/11/2005,,ENG,66
Patson,Daka,09/10/1998,,ZAM,20
Max,Aarons,04/01/2000,,ENG,37
Thiago,,26/06/2001,,BRA,9
Alfie,Pond,01/03/2004,,ENG,46
Luke,Shaw,12/07/1995,,ENG,23
Callum,Wilson,27/02/1992,,ENG,9
Joe,Lumley,15/02/1995,,ENG,13
Nathan,Broadhead,05/04/1998,,WAL,33
Luke,Thomas,10/06/2001,,ENG,33
Robin,Olsen,08/01/1990,,SWE,25
Will,Lankshear,20/04/2005,,ENG,42
Fraser,Forster,17/03/1988,,ENG,20
Ryan,Sessegnon,18/05/2000,,ENG,30
Nathan,Patterson,16/10/2001,,SCO,2
Stefan,Ortega,06/11/1992,,GER,18
Armando,Broja,10/09/2001,,ALB,22
Nathan,Wood-Gordon,31/05/2002,,ENG,15
Ronnie,Edwards,28/03/2003,,ENG,12
Filip,Jørgensen,16/04/2002,,DEN,12
Tyrell,Malacia,17/08/1999,,NED,12
Leny,Yoro,13/11/2005,,FRA,15
Tyrone,Mings,13/03/1993,,ENG,5
Edmond-Paris,Maghoma,08/05/2001,,ENG,32
Joshua,King,03/01/2007,,ENG,24
Joshua,King,03/01/2007,,ENG,24
